date,aqi,Main Pollutant,ozone,PM10,PM25,date_aqi
2001-07-05,31,Ozone,31,25,24,07/05/2001
2001-07-06,38,Ozone,38,22,21,07/06/2001
2001-07-07,34,Ozone,34,14,24,07/07/2001
2001-07-08,35,Ozone,35,17,27,07/08/2001
2001-07-09,35,Ozone,35,27,30,07/09/2001
2001-07-10,36,Ozone,36,31,28,07/10/2001
2001-07-11,34,Ozone,34,29,27,07/11/2001
2001-07-12,26,PM2.5,25,26,26,07/12/2001
2001-07-13,34,Ozone,34,18,28,07/13/2001
2001-07-14,37,Ozone,37,17,30,07/14/2001
2001-07-15,33,PM2.5,23,21,33,07/15/2001
2001-07-16,22,Ozone,22,14,28,07/16/2001
2001-07-17,26,Ozone,26,12,23,07/17/2001
2001-07-18,26,Ozone,26,10,18,07/18/2001
2001-07-19,31,Ozone,31,21,17,07/19/2001
2001-07-20,30,Ozone,30,20,16,07/20/2001
2001-07-21,31,Ozone,31,8,16,07/21/2001
2001-07-22,27,Ozone,27,10,18,07/22/2001
2001-07-23,29,Ozone,29,13,20,07/23/2001
2001-07-24,30,Ozone,30,16,23,07/24/2001
2001-07-25,38,Ozone,38,13,25,07/25/2001
2001-07-26,34,Ozone,34,21,27,07/26/2001
2001-07-27,43,Ozone,43,22,30,07/27/2001
2001-07-28,27,Ozone,27,19,27,07/28/2001
2001-07-29,26,Ozone,26,6,25,07/29/2001
2001-07-30,29,Ozone,29,12,23,07/30/2001
2001-07-31,16,Ozone,16,9,24,07/31/2001
2001-08-01,26,Ozone,26,14,25,08/01/2001
2001-08-02,26,PM2.5,34,19,26,08/02/2001
2001-08-03,43,Ozone,43,20,24,08/03/2001
2001-08-04,30,Ozone,30,17,22,08/04/2001
2001-08-05,29,Ozone,29,12,20,08/05/2001
2001-08-06,31,Ozone,31,24,22,08/06/2001
2001-08-07,31,Ozone,31,23,24,08/07/2001
2001-08-08,39,PM10,27,39,26,08/08/2001
2001-08-09,34,Ozone,34,23,31,08/09/2001
2001-08-10,39,Ozone,39,28,36,08/10/2001
2001-08-11,41,PM2.5,40,28,41,08/11/2001
2001-08-12,43,Ozone,43,28,44,08/12/2001
2001-08-13,40,PM10,33,40,47,08/13/2001
2001-08-14,50,PM2.5,44,31,50,08/14/2001
2001-08-15,41,Ozone,41,30,54,08/15/2001
2001-08-16,37,PM10,39,37,58,08/16/2001
2001-08-17,63,PM2.5,38,44,63,08/17/2001
2001-08-18,45,Ozone,45,36,60,08/18/2001
2001-08-19,34,Ozone,34,28,57,08/19/2001
2001-08-20,54,PM2.5,38,33,54,08/20/2001
